date,team,resource_category,quarter,total_cost,avg_utilization,running_total_cost
2024-03-10,MAC6,Database,Q1,269.15,58.0,22488.100000000002
2024-03-11,MAC6,Database,Q1,402.76,67.0,22890.86
2024-03-12,MAC6,Database,Q1,292.49,73.0,23183.350000000002
2024-03-13,MAC6,Database,Q1,383.5,65.0,23566.850000000002
2024-03-14,MAC6,Database,Q1,365.97,50.0,23932.820000000003
2024-03-15,MAC6,Database,Q1,372.97,64.0,24305.790000000005
2024-03-16,MAC6,Database,Q1,281.04,67.0,24586.830000000005
2024-03-17,MAC6,Database,Q1,278.26,64.0,24865.090000000004
2024-03-18,MAC6,Database,Q1,392.46,67.0,25257.550000000003
2024-03-19,MAC6,Database,Q1,400.66,63.0,25658.210000000003
2024-03-20,MAC6,Database,Q1,353.17,59.0,26011.38
2024-03-21,MAC6,Database,Q1,315.64,57.0,26327.02
2024-03-22,MAC6,Database,Q1,365.61,68.0,26692.63
2024-03-23,MAC6,Database,Q1,345.4,64.0,27038.030000000002
2024-03-24,MAC6,Database,Q1,278.56,56.0,27316.590000000004
2024-03-25,MAC6,Database,Q1,371.41,61.0,27688.000000000004
2024-03-26,MAC6,Database,Q1,356.4,76.0,28044.400000000005
2024-03-27,MAC6,Database,Q1,1805.9,98.0,29850.300000000007
2024-03-28,MAC6,Database,Q1,383.45,74.0,30233.750000000007
2024-03-29,MAC6,Database,Q1,360.68,60.0,30594.430000000008
2024-03-30,MAC6,Database,Q1,279.76,62.0,30874.190000000006
2024-03-31,MAC6,Database,Q1,250.09,63.0,31124.280000000006
2024-04-01,MAC6,Database,Q2,411.85,70.0,31536.130000000005
2024-04-02,MAC6,Database,Q2,432.81,76.0,31968.940000000006
2024-04-03,MAC6,Database,Q2,367.05,70.0,32335.990000000005
2024-04-04,MAC6,Database,Q2,388.22,68.0,32724.210000000006
2024-04-05,MAC6,Database,Q2,374.84,67.0,33099.05
2024-04-06,MAC6,Database,Q2,308.68,84.0,33407.73
2024-04-07,MAC6,Database,Q2,290.79,71.0,33698.520000000004
2024-04-08,MAC6,Database,Q2,441.96,66.0,34140.48
2024-04-09,MAC6,Database,Q2,339.57,65.0,34480.05
2024-04-10,MAC6,Database,Q2,335.5,54.0,34815.55
2024-04-11,MAC6,Database,Q2,371.81,61.0,35187.36
2024-04-12,MAC6,Database,Q2,388.75,59.0,35576.11
2024-04-13,MAC6,Database,Q2,243.6,64.0,35819.71
2024-04-14,MAC6,Database,Q2,312.51,72.0,36132.22
2024-04-15,MAC6,Database,Q2,406.28,68.0,36538.5
2024-04-16,MAC6,Database,Q2,355.43,60.0,36893.93
2024-04-17,MAC6,Database,Q2,400.52,67.0,37294.45
2024-04-18,MAC6,Database,Q2,466.03,74.0,37760.479999999996
2024-04-19,MAC6,Database,Q2,362.88,63.0,38123.35999999999
2024-04-20,MAC6,Database,Q2,281.16,65.0,38404.52
2024-04-21,MAC6,Database,Q2,286.65,72.0,38691.17
2024-04-22,MAC6,Database,Q2,437.77,66.0,39128.939999999995
2024-04-23,MAC6,Database,Q2,457.11,72.0,39586.049999999996
2024-04-24,MAC6,Database,Q2,367.35,49.0,39953.399999999994
2024-04-25,MAC6,Database,Q2,443.39,73.0,40396.78999999999
2024-04-26,MAC6,Database,Q2,371.76,43.0,40768.549999999996
2024-04-27,MAC6,Database,Q2,294.01,53.0,41062.56
2024-04-28,MAC6,Database,Q2,279.52,56.0,41342.079999999994
2024-04-29,MAC6,Database,Q2,391.38,70.0,41733.45999999999
2024-04-30,MAC6,Database,Q2,333.14,55.0,42066.59999999999
2024-05-01,MAC6,Database,Q2,382.51,46.0,42449.10999999999
2024-05-02,MAC6,Database,Q2,424.92,73.0,42874.02999999999
2024-05-03,MAC6,Database,Q2,413.22,65.0,43287.24999999999
2024-05-04,MAC6,Database,Q2,321.47,56.0,43608.719999999994
2024-05-05,MAC6,Database,Q2,292.78,77.0,43901.49999999999
2024-05-06,MAC6,Database,Q2,433.09,71.0,44334.58999999999
2024-05-07,MAC6,Database,Q2,430.15,70.0,44764.74
2024-05-08,MAC6,Database,Q2,468.16,59.0,45232.9
2024-05-09,MAC6,Database,Q2,404.88,65.0,45637.78
2024-05-10,MAC6,Database,Q2,375.42,67.0,46013.2
2024-05-11,MAC6,Database,Q2,1118.34,95.0,47131.53999999999
2024-05-12,MAC6,Database,Q2,281.18,62.0,47412.719999999994
2024-05-13,MAC6,Database,Q2,409.7,42.0,47822.41999999999
2024-05-14,MAC6,Database,Q2,423.08,66.0,48245.49999999999
2024-05-15,MAC6,Database,Q2,419.9,63.0,48665.399999999994
2024-05-16,MAC6,Database,Q2,437.21,74.0,49102.60999999999
2024-05-17,MAC6,Database,Q2,422.24,65.0,49524.84999999999
2024-05-18,MAC6,Database,Q2,317.0,60.0,49841.84999999999
2024-05-19,MAC6,Database,Q2,1848.95,100.0,51690.79999999999
2024-05-20,MAC6,Database,Q2,506.02,73.0,52196.819999999985
2024-05-21,MAC6,Database,Q2,383.05,62.0,52579.86999999999
2024-05-22,MAC6,Database,Q2,499.29,72.0,53079.15999999999
2024-05-23,MAC6,Database,Q2,359.52,69.0,53438.68
2024-05-24,MAC6,Database,Q2,498.69,73.0,53937.37
2024-05-25,MAC6,Database,Q2,351.66,80.0,54289.030000000006
2024-05-26,MAC6,Database,Q2,297.71,51.0,54586.740000000005
2024-05-27,MAC6,Database,Q2,436.53,62.0,55023.270000000004
2024-05-28,MAC6,Database,Q2,456.87,72.0,55480.14000000001
2024-05-29,MAC6,Database,Q2,494.73,58.0,55974.87000000001
2024-05-30,MAC6,Database,Q2,429.23,64.0,56404.10000000001
2024-05-31,MAC6,Database,Q2,415.78,61.0,56819.88000000001
2024-06-01,MAC6,Database,Q2,350.08,60.0,57169.960000000014
2024-06-02,MAC6,Database,Q2,341.4,69.0,57511.360000000015
2024-06-03,MAC6,Database,Q2,400.29,65.0,57911.650000000016
2024-06-04,MAC6,Database,Q2,500.36,72.0,58412.01000000002
2024-06-05,MAC6,Database,Q2,436.4,54.0,58848.41000000002
2024-06-06,MAC6,Database,Q2,1640.75,100.0,60489.16000000002
2024-06-07,MAC6,Database,Q2,470.31,61.0,60959.470000000016
2024-06-08,MAC6,Database,Q2,309.93,56.0,61269.4
2024-06-09,MAC6,Database,Q2,278.29,48.0,61547.69
2024-06-10,MAC6,Database,Q2,486.06,72.0,62033.75
2024-06-11,MAC6,Database,Q2,438.36,65.0,62472.11
2024-06-12,MAC6,Database,Q2,512.29,84.0,62984.4
2024-06-13,MAC6,Database,Q2,431.47,66.0,63415.87
2024-06-14,MAC6,Database,Q2,469.69,64.0,63885.560000000005
2024-06-15,MAC6,Database,Q2,319.02,74.0,64204.58
2024-06-16,MAC6,Database,Q2,273.39,68.0,64477.97
2024-06-17,MAC6,Database,Q2,421.89,46.0,64899.86
2024-06-18,MAC6,Database,Q2,473.19,60.0,65373.05
2024-06-19,MAC6,Database,Q2,479.76,54.0,65852.81
2024-06-20,MAC6,Database,Q2,461.68,76.0,66314.48999999999
2024-06-21,MAC6,Database,Q2,409.62,64.0,66724.10999999999
2024-06-22,MAC6,Database,Q2,289.82,56.0,67013.93
2024-06-23,MAC6,Database,Q2,328.17,66.0,67342.09999999999
2024-06-24,MAC6,Database,Q2,482.33,84.0,67824.43000000001
2024-06-25,MAC6,Database,Q2,421.89,68.0,68246.32
2024-06-26,MAC6,Database,Q2,433.13,63.0,68679.45000000001
2024-06-27,MAC6,Database,Q2,3402.21,81.0,72081.66000000002
2024-06-28,MAC6,Database,Q2,453.26,61.0,72534.92000000001
2024-06-29,MAC6,Database,Q2,300.55,72.0,72835.47000000002
2024-06-30,MAC6,Database,Q2,272.74,55.0,73108.21000000002
2024-07-01,MAC6,Database,Q3,516.58,58.0,73624.79000000002
2024-07-02,MAC6,Database,Q3,457.57,59.0,74082.36000000003
2024-07-03,MAC6,Database,Q3,493.55,61.0,74575.91000000003
2024-07-04,MAC6,Database,Q3,421.22,58.0,74997.13000000003
2024-07-05,MAC6,Database,Q3,478.12,59.0,75475.25000000003
2024-07-06,MAC6,Database,Q3,312.03,69.0,75787.28000000003
2024-07-07,MAC6,Database,Q3,345.13,63.0,76132.41000000003
2024-07-08,MAC6,Database,Q3,469.62,75.0,76602.03000000003
2024-07-09,MAC6,Database,Q3,425.45,53.0,77027.48000000003
2024-07-10,MAC6,Database,Q3,449.65,72.0,77477.13
2024-07-11,MAC6,Database,Q3,496.27,60.0,77973.40000000001
2024-07-12,MAC6,Database,Q3,518.78,62.0,78492.18000000001
2024-07-13,MAC6,Database,Q3,330.06,66.0,78822.24
2024-07-14,MAC6,Database,Q3,291.13,58.0,79113.37000000001
2024-07-15,MAC6,Database,Q3,503.1,61.0,79616.47000000002
2024-07-16,MAC6,Database,Q3,480.41,57.0,80096.88000000002
2024-07-17,MAC6,Database,Q3,487.55,66.0,80584.43000000002
2024-07-18,MAC6,Database,Q3,495.61,64.0,81080.04000000002
2024-07-19,MAC6,Database,Q3,468.5,66.0,81548.54000000002
2024-07-20,MAC6,Database,Q3,335.16,57.0,81883.70000000003
2024-07-21,MAC6,Database,Q3,284.89,62.0,82168.59000000003
2024-07-22,MAC6,Database,Q3,505.73,69.0,82674.32000000002
2024-07-23,MAC6,Database,Q3,436.7,52.0,83111.02000000002
2024-07-24,MAC6,Database,Q3,469.42,61.0,83580.44000000002
2024-07-25,MAC6,Database,Q3,477.14,66.0,84057.58000000002
2024-07-26,MAC6,Database,Q3,470.23,68.0,84527.81
2024-07-27,MAC6,Database,Q3,364.62,74.0,84892.43
2024-07-28,MAC6,Database,Q3,332.44,57.0,85224.87
2024-07-29,MAC6,Database,Q3,493.35,44.0,85718.22
2024-07-30,MAC6,Database,Q3,450.34,61.0,86168.56
2024-07-31,MAC6,Database,Q3,397.18,62.0,86565.73999999999
2024-08-01,MAC6,Database,Q3,470.32,60.0,87036.06
2024-08-02,MAC6,Database,Q3,502.17,84.0,87538.23
2024-08-03,MAC6,Database,Q3,320.69,66.0,87858.92
2024-08-04,MAC6,Database,Q3,329.85,63.0,88188.77
2024-08-05,MAC6,Database,Q3,458.41,56.0,88647.18000000001
2024-08-06,MAC6,Database,Q3,447.84,62.0,89095.02
2024-08-07,MAC6,Database,Q3,481.32,75.0,89576.34000000001
2024-08-08,MAC6,Database,Q3,503.38,65.0,90079.72000000002
2024-08-09,MAC6,Database,Q3,429.89,74.0,90509.61000000002
2024-08-10,MAC6,Database,Q3,337.9,73.0,90847.51000000001
2024-08-11,MAC6,Database,Q3,338.96,74.0,91186.47
2024-08-12,MAC6,Database,Q3,487.64,74.0,91674.11
2024-08-13,MAC6,Database,Q3,535.46,78.0,92209.57
2024-08-14,MAC6,Database,Q3,473.12,66.0,92682.69
2024-08-15,MAC6,Database,Q3,513.09,64.0,93195.78
2024-08-16,MAC6,Database,Q3,458.53,70.0,93654.31
2024-08-17,MAC6,Database,Q3,354.93,59.0,94009.23999999999
2024-08-18,MAC6,Database,Q3,336.81,65.0,94346.04999999999
2024-08-19,MAC6,Database,Q3,493.85,54.0,94839.9
2024-08-20,MAC6,Database,Q3,516.72,64.0,95356.62
2024-08-21,MAC6,Database,Q3,498.89,61.0,95855.51
2024-08-22,MAC6,Database,Q3,503.82,58.0,96359.33
2024-08-23,MAC6,Database,Q3,467.92,70.0,96827.25
2024-08-24,MAC6,Database,Q3,319.82,48.0,97147.07
2024-08-25,MAC6,Database,Q3,325.41,61.0,97472.48000000001
2024-08-26,MAC6,Database,Q3,537.94,67.0,98010.42000000001
2024-08-27,MAC6,Database,Q3,520.79,65.0,98531.21
2024-08-28,MAC6,Database,Q3,495.19,63.0,99026.40000000001
2024-08-29,MAC6,Database,Q3,473.77,64.0,99500.17000000001
2024-08-30,MAC6,Database,Q3,521.26,64.0,100021.43000000001
2024-08-31,MAC6,Database,Q3,407.93,70.0,100429.36
2024-09-01,MAC6,Database,Q3,349.4,68.0,100778.76
2024-09-02,MAC6,Database,Q3,440.9,62.0,101219.65999999999
2024-09-03,MAC6,Database,Q3,475.18,44.0,101694.83999999998
2024-09-04,MAC6,Database,Q3,407.4,50.0,102102.23999999998
2024-09-05,MAC6,Database,Q3,548.63,48.0,102650.86999999998
2024-09-06,MAC6,Database,Q3,469.31,57.0,103120.17999999998
2024-09-07,MAC6,Database,Q3,377.46,69.0,103497.63999999998
2024-09-08,MAC6,Database,Q3,356.77,68.0,103854.40999999999
2024-09-09,MAC6,Database,Q3,513.06,78.0,104367.46999999999
2024-09-10,MAC6,Database,Q3,516.61,74.0,104884.07999999999
2024-09-11,MAC6,Database,Q3,538.76,64.0,105422.83999999998
2024-09-12,MAC6,Database,Q3,508.61,54.0,105931.45000000001
2024-09-13,MAC6,Database,Q3,384.65,47.0,106316.1
2024-09-14,MAC6,Database,Q3,339.69,60.0,106655.79000000001
2024-09-15,MAC6,Database,Q3,376.09,81.0,107031.88
2024-09-16,MAC6,Database,Q3,520.65,52.0,107552.53
2024-09-17,MAC6,Database,Q3,456.65,72.0,108009.18
2024-09-18,MAC6,Database,Q3,529.92,58.0,108539.09999999999
2024-09-19,MAC6,Database,Q3,471.11,62.0,109010.20999999999
2024-09-20,MAC6,Database,Q3,470.54,65.0,109480.74999999999
2024-09-21,MAC6,Database,Q3,415.79,62.0,109896.53999999998
2024-09-22,MAC6,Database,Q3,340.46,66.0,110236.99999999999
2024-09-23,MAC6,Database,Q3,522.41,61.0,110759.40999999999
2024-09-24,MAC6,Database,Q3,521.72,54.0,111281.12999999999
2024-09-25,MAC6,Database,Q3,507.12,59.0,111788.24999999999
2024-09-26,MAC6,Database,Q3,541.78,57.0,112330.02999999998
2024-09-27,MAC6,Database,Q3,444.68,59.0,112774.70999999998
2024-09-28,MAC6,Database,Q3,334.73,62.0,113109.44000000002
2024-09-29,MAC6,Database,Q3,343.71,53.0,113453.15000000002
2024-09-30,MAC6,Database,Q3,532.91,69.0,113986.06000000003
2024-10-01,MAC6,Database,Q4,547.07,71.0,114533.13000000003
2024-10-02,MAC6,Database,Q4,622.97,71.0,115156.10000000003
2024-10-03,MAC6,Database,Q4,574.3,77.0,115730.40000000004
2024-10-04,MAC6,Database,Q4,467.42,62.0,116197.82000000004
2024-10-05,MAC6,Database,Q4,382.04,67.0,116579.86000000003
2024-10-06,MAC6,Database,Q4,376.65,64.0,116956.51000000002
2024-10-07,MAC6,Database,Q4,538.84,66.0,117495.35000000002
2024-10-08,MAC6,Database,Q4,533.79,73.0,118029.14000000001
2024-10-09,MAC6,Database,Q4,393.3,67.0,118422.44000000002
2024-10-10,MAC6,Database,Q4,485.04,48.0,118907.48000000001
2024-10-11,MAC6,Database,Q4,545.53,69.0,119453.01000000001
2024-10-12,MAC6,Database,Q4,388.37,69.0,119841.38
2024-10-13,MAC6,Database,Q4,346.52,59.0,120187.90000000001
2024-10-14,MAC6,Database,Q4,514.9,70.0,120702.80000000002
2024-10-15,MAC6,Database,Q4,478.25,63.0,121181.05000000002
2024-10-16,MAC6,Database,Q4,548.76,83.0,121729.81000000001
2024-10-17,MAC6,Database,Q4,558.04,73.0,122287.85
2024-10-18,MAC6,Database,Q4,477.74,63.0,122765.59000000001
2024-10-19,MAC6,Database,Q4,346.39,56.0,123111.98000000001
2024-10-20,MAC6,Database,Q4,329.58,59.0,123441.56000000001
2024-10-21,MAC6,Database,Q4,568.96,63.0,124010.52000000002
2024-10-22,MAC6,Database,Q4,469.03,60.0,124479.55000000002
2024-10-23,MAC6,Database,Q4,594.94,67.0,125074.49000000002
2024-10-24,MAC6,Database,Q4,578.93,57.0,125653.42000000001
2024-10-25,MAC6,Database,Q4,539.12,75.0,126192.54000000001
2024-10-26,MAC6,Database,Q4,380.82,67.0,126573.36000000002
2024-10-27,MAC6,Database,Q4,350.93,57.0,126924.29000000001
2024-10-28,MAC6,Database,Q4,553.15,49.0,127477.44
2024-10-29,MAC6,Database,Q4,520.1,66.0,127997.54000000001
2024-10-30,MAC6,Database,Q4,463.21,55.0,128460.75000000001
2024-10-31,MAC6,Database,Q4,491.15,58.0,128951.90000000001
2024-11-01,MAC6,Database,Q4,495.2,58.0,129447.1
2024-11-02,MAC6,Database,Q4,391.43,51.0,129838.53
2024-11-03,MAC6,Database,Q4,367.13,68.0,130205.66
2024-11-04,MAC6,Database,Q4,569.32,61.0,130774.98000000001
2024-11-05,MAC6,Database,Q4,537.41,60.0,131312.39
2024-11-06,MAC6,Database,Q4,565.04,71.0,131877.43000000002
2024-11-07,MAC6,Database,Q4,3614.76,92.0,135492.19000000003
2024-11-08,MAC6,Database,Q4,569.39,59.0,136061.58000000005
2024-11-09,MAC6,Database,Q4,340.84,64.0,136402.42000000004
2024-11-10,MAC6,Database,Q4,349.62,79.0,136752.04000000004
2024-11-11,MAC6,Database,Q4,494.02,57.0,137246.06000000003
2024-11-12,MAC6,Database,Q4,1685.5,100.0,138931.56000000003
2024-11-13,MAC6,Database,Q4,595.94,61.0,139527.50000000003
2024-11-14,MAC6,Database,Q4,542.31,63.0,140069.81000000003
2024-11-15,MAC6,Database,Q4,484.5,55.0,140554.31000000003
2024-11-16,MAC6,Database,Q4,388.33,64.0,140942.64
2024-11-17,MAC6,Database,Q4,394.86,80.0,141337.5
2024-11-18,MAC6,Database,Q4,616.2,80.0,141953.7
2024-11-19,MAC6,Database,Q4,467.52,62.0,142421.22
2024-11-20,MAC6,Database,Q4,590.11,55.0,143011.33
2024-11-21,MAC6,Database,Q4,504.99,58.0,143516.31999999998
2024-11-22,MAC6,Database,Q4,505.31,62.0,144021.62999999998
2024-11-23,MAC6,Database,Q4,411.41,69.0,144433.03999999998
2024-11-24,MAC6,Database,Q4,405.74,58.0,144838.77999999997
2024-11-25,MAC6,Database,Q4,577.02,61.0,145415.79999999996
2024-11-26,MAC6,Database,Q4,631.14,69.0,146046.93999999997
2024-11-27,MAC6,Database,Q4,574.14,75.0,146621.08
2024-11-28,MAC6,Database,Q4,597.95,65.0,147219.03
2024-11-29,MAC6,Database,Q4,544.39,57.0,147763.42
2024-11-30,MAC6,Database,Q4,390.59,60.0,148154.01
2024-12-01,MAC6,Database,Q4,438.05,77.0,148592.06000000003
2024-12-02,MAC6,Database,Q4,605.97,58.0,149198.03000000003
2024-12-03,MAC6,Database,Q4,589.21,70.0,149787.24000000002
2024-12-04,MAC6,Database,Q4,579.52,66.0,150366.76
2024-12-05,MAC6,Database,Q4,538.43,74.0,150905.19
2024-12-06,MAC6,Database,Q4,598.74,60.0,151503.93
2024-12-07,MAC6,Database,Q4,433.84,59.0,151937.77
2024-12-08,MAC6,Database,Q4,412.19,74.0,152349.96
2024-12-09,MAC6,Database,Q4,530.76,51.0,152880.72
2024-12-10,MAC6,Database,Q4,623.59,58.0,153504.31
2024-12-11,MAC6,Database,Q4,535.01,66.0,154039.32
2024-12-12,MAC6,Database,Q4,666.88,74.0,154706.2
2024-12-13,MAC6,Database,Q4,594.89,72.0,155301.09000000003
2024-12-14,MAC6,Database,Q4,494.92,80.0,155796.01000000004
2024-12-15,MAC6,Database,Q4,755.76,57.0,156551.77000000005
2024-12-16,MAC6,Database,Q4,1028.05,66.0,157579.82000000004
2024-12-17,MAC6,Database,Q4,1154.1,74.0,158733.92000000004
2024-12-18,MAC6,Database,Q4,986.63,63.0,159720.55000000005
2024-12-19,MAC6,Database,Q4,1174.56,79.0,160895.11000000004
2024-12-20,MAC6,Database,Q4,904.65,66.0,161799.76000000004
2024-12-21,MAC6,Database,Q4,754.79,50.0,162554.55000000005
2024-12-22,MAC6,Database,Q4,717.36,67.0,163271.91000000003
2024-12-23,MAC6,Database,Q4,1097.72,69.0,164369.63000000003
2024-12-24,MAC6,Database,Q4,1141.01,78.0,165510.64000000004
2024-12-25,MAC6,Database,Q4,654.11,67.0,166164.75000000003
2024-12-26,MAC6,Database,Q4,559.25,61.0,166724.00000000003
2024-12-27,MAC6,Database,Q4,466.95,61.0,167190.95000000004
2024-12-28,MAC6,Database,Q4,420.01,66.0,167610.96000000005
2024-12-29,MAC6,Database,Q4,382.14,65.0,167993.10000000006
2024-12-30,MAC6,Database,Q4,616.42,68.0,168609.52000000008
2024-01-01,MAC2,Database,Q1,261.07,53.0,261.07
2024-01-02,MAC2,Database,Q1,267.28,78.0,528.3499999999999
2024-01-03,MAC2,Database,Q1,283.62,74.0,811.9699999999999
2024-01-04,MAC2,Database,Q1,277.06,82.0,1089.03
2024-01-05,MAC2,Database,Q1,240.83,70.0,1329.86
2024-01-06,MAC2,Database,Q1,138.75,47.0,1468.61
2024-01-07,MAC2,Database,Q1,173.9,73.0,1642.51
2024-01-08,MAC2,Database,Q1,267.09,59.0,1909.6
2024-01-09,MAC2,Database,Q1,238.22,60.0,2147.8199999999997
2024-01-10,MAC2,Database,Q1,249.51,57.0,2397.33
2024-01-11,MAC2,Database,Q1,231.5,65.0,2628.83
2024-01-12,MAC2,Database,Q1,249.44,63.0,2878.27
2024-01-13,MAC2,Database,Q1,181.15,66.0,3059.42
2024-01-14,MAC2,Database,Q1,139.17,57.0,3198.59
2024-01-15,MAC2,Database,Q1,273.45,64.0,3472.04
2024-01-16,MAC2,Database,Q1,248.11,63.0,3720.15
2024-01-17,MAC2,Database,Q1,270.24,67.0,3990.3900000000003
2024-01-18,MAC2,Database,Q1,1657.64,93.0,5648.030000000001
2024-01-19,MAC2,Database,Q1,259.99,63.0,5908.02
2024-01-20,MAC2,Database,Q1,194.95,62.0,6102.97
2024-01-21,MAC2,Database,Q1,164.17,61.0,6267.14
2024-01-22,MAC2,Database,Q1,256.37,50.0,6523.51
2024-01-23,MAC2,Database,Q1,293.3,76.0,6816.81
2024-01-24,MAC2,Database,Q1,268.31,59.0,7085.120000000001
2024-01-25,MAC2,Database,Q1,246.26,60.0,7331.380000000001
2024-01-26,MAC2,Database,Q1,261.68,70.0,7593.060000000001
2024-01-27,MAC2,Database,Q1,205.32,72.0,7798.380000000001
2024-01-28,MAC2,Database,Q1,169.71,61.0,7968.090000000001
2024-01-29,MAC2,Database,Q1,261.89,57.0,8229.980000000001
2024-01-30,MAC2,Database,Q1,249.05,70.0,8479.03
2024-01-31,MAC2,Database,Q1,258.27,57.0,8737.300000000001
2024-02-01,MAC2,Database,Q1,247.5,60.0,8984.8
2024-02-02,MAC2,Database,Q1,289.77,67.0,9274.57
2024-02-03,MAC2,Database,Q1,198.19,78.0,9472.76
2024-02-04,MAC2,Database,Q1,190.45,63.0,9663.210000000001
2024-02-05,MAC2,Database,Q1,286.65,75.0,9949.86
2024-02-06,MAC2,Database,Q1,213.89,62.0,10163.75
2024-02-07,MAC2,Database,Q1,296.51,68.0,10460.26
2024-02-08,MAC2,Database,Q1,300.77,61.0,10761.03
2024-02-09,MAC2,Database,Q1,257.72,61.0,11018.75
2024-02-10,MAC2,Database,Q1,201.03,63.0,11219.78
2024-02-11,MAC2,Database,Q1,197.84,73.0,11417.62
2024-02-12,MAC2,Database,Q1,272.97,50.0,11690.59
2024-02-13,MAC2,Database,Q1,262.51,62.0,11953.1
2024-02-14,MAC2,Database,Q1,265.99,59.0,12219.09
